,Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
16,17200.0,2.0,2.0,1.0,30.0,-2.0,0.0,-612.0,-2.0,5830.0,-1334.0,-1.0,0.0,3830.0,2.0,100.0,3115.0,0.0,81.0,2507.0,0.0,80.0,1951.0,0.0
17,2100.0,2.0,3.0,1.0,23.0,2.0,81.0,1992.0,0.0,82.0,2026.0,0.0,81.0,1671.0,0.0,41.0,683.0,0.0,56.0,376.0,-1.0,760.0,42.0,1.0
18,2300.0,2.0,2.0,1.0,49.0,2.0,112.0,2408.0,0.0,104.0,2430.0,0.0,84.0,2434.0,0.0,40.0,2356.0,0.0,40.0,774.0,0.0,28.0,781.0,1.0
19,5900.0,1.0,2.0,2.0,26.0,0.0,240.0,5380.0,0.0,280.0,5524.0,0.0,88.0,3570.0,0.0,1940.0,1987.0,0.0,144.0,3881.0,0.0,140.0,3969.0,0.0
20,15600.0,2.0,1.0,2.0,32.0,0.0,121.0,306.0,0.0,80.0,340.0,0.0,260.0,164.0,0.0,80.0,334.0,0.0,40.0,304.0,0.0,40.0,321.0,0.0
21,2500.0,1.0,1.0,2.0,28.0,0.0,166.0,615.0,-1.0,777.0,165.0,0.0,40.0,778.0,0.0,40.0,716.0,0.0,40.0,739.0,0.0,40.0,754.0,0.0
22,11300.0,2.0,1.0,1.0,38.0,-1.0,40.0,312.0,0.0,17.0,234.0,-1.0,82.0,17.0,-1.0,31.0,82.0,-1.0,23.0,31.0,-1.0,41.0,23.0,1.0
23,1900.0,2.0,1.0,2.0,28.0,1.0,60.0,1752.0,2.0,52.0,1767.0,0.0,96.0,171.0,0.0,88.0,200.0,0.0,0.0,229.0,0.0,131.0,59.0,0.0
24,19900.0,1.0,1.0,1.0,57.0,-2.0,200.0,548.0,-2.0,1247.0,200.0,-2.0,127.0,1245.0,-2.0,0.0,127.0,-2.0,212.0,0.0,-2.0,31.0,212.0,0.0
25,7900.0,2.0,3.0,1.0,41.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,20.0,0.0,0.0
26,1900.0,2.0,2.0,2.0,31.0,0.0,90.0,1966.0,0.0,76.0,1989.0,0.0,72.0,1977.0,0.0,28.0,1607.0,0.0,40.0,767.0,0.0,40.0,642.0,1.0
27,3300.0,1.0,1.0,2.0,26.0,0.0,84.0,2689.0,0.0,240.0,991.0,0.0,8.0,800.0,0.0,0.0,800.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0
28,1900.0,1.0,3.0,1.0,52.0,0.0,65.0,1532.0,0.0,82.0,1572.0,0.0,187.0,1628.0,0.0,0.0,1774.0,2.0,159.0,1741.0,2.0,0.0,1873.0,0.0
29,2000.0,1.0,3.0,2.0,60.0,0.0,72.0,1854.0,0.0,80.0,1896.0,0.0,60.0,1945.0,0.0,40.0,1966.0,0.0,48.0,1108.0,0.0,44.0,1102.0,0.0
30,10700.0,1.0,1.0,1.0,38.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
31,1500.0,2.0,1.0,2.0,29.0,0.0,200.0,1237.0,0.0,61.0,1047.0,0.0,400.0,1090.0,0.0,400.0,1176.0,0.0,600.0,786.0,0.0,34.0,928.0,0.0
32,3300.0,2.0,2.0,1.0,39.0,2.0,156.0,3144.0,2.0,160.0,3227.0,2.0,0.0,3309.0,2.0,77.0,3234.0,0.0,72.0,1983.0,0.0,72.0,1934.0,1.0
33,800.0,1.0,2.0,2.0,47.0,0.0,76.0,584.0,0.0,40.0,650.0,2.0,40.0,667.0,0.0,40.0,696.0,0.0,75.0,725.0,0.0,40.0,787.0,0.0
34,3900.0,2.0,2.0,1.0,24.0,0.0,80.0,830.0,0.0,80.0,802.0,0.0,240.0,791.0,0.0,160.0,998.0,0.0,160.0,1146.0,0.0,120.0,335.0,0.0
35,2000.0,1.0,2.0,1.0,24.0,0.0,72.0,1929.0,0.0,68.0,1910.0,0.0,63.0,1846.0,0.0,80.0,1823.0,0.0,80.0,1816.0,0.0,64.0,1799.0,0.0
36,8400.0,2.0,2.0,1.0,31.0,-1.0,33.0,79.0,-1.0,0.0,30.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,1.0
37,14900.0,1.0,1.0,2.0,32.0,0.0,200.0,1424.0,0.0,120.0,1593.0,0.0,200.0,1663.0,0.0,200.0,1767.0,0.0,320.0,1914.0,0.0,400.0,2174.0,0.0
38,4300.0,1.0,2.0,1.0,40.0,0.0,200.0,2811.0,0.0,200.0,2964.0,0.0,320.0,3116.0,0.0,0.0,3384.0,2.0,280.0,3294.0,2.0,0.0,3487.0,1.0
39,4500.0,2.0,3.0,1.0,41.0,0.0,233.0,4652.0,0.0,231.0,4751.0,0.0,200.0,4841.0,0.0,168.0,4771.0,0.0,200.0,4646.0,0.0,200.0,4555.0,0.0
40,5300.0,2.0,2.0,1.0,35.0,1.0,0.0,0.0,-2.0,12.0,0.0,-1.0,147.0,12.0,-1.0,59.0,147.0,-1.0,222.0,59.0,-1.0,59.0,222.0,0.0
41,3300.0,2.0,2.0,1.0,37.0,0.0,100.0,2542.0,0.0,400.0,2392.0,0.0,120.0,2745.0,0.0,120.0,1626.0,0.0,200.0,1297.0,0.0,200.0,1466.0,0.0
42,4800.0,2.0,2.0,2.0,28.0,2.0,212.0,4474.0,2.0,144.0,4570.0,2.0,0.0,4612.0,2.0,136.0,4496.0,0.0,140.0,4571.0,0.0,180.0,4653.0,1.0
43,10100.0,2.0,2.0,2.0,23.0,-1.0,54.0,38.0,-1.0,105.0,54.0,-1.0,0.0,105.0,0.0,0.0,73.0,0.0,46.0,39.0,-1.0,69.0,46.0,1.0
44,2700.0,1.0,1.0,2.0,44.0,1.0,3.0,2958.0,2.0,120.0,2884.0,0.0,186.0,1858.0,0.0,40.0,1870.0,0.0,40.0,851.0,0.0,0.0,575.0,0.0
45,5900.0,1.0,3.0,1.0,52.0,0.0,103.0,3552.0,0.0,105.0,3626.0,0.0,106.0,3700.0,0.0,160.0,3775.0,0.0,126.0,3904.0,0.0,89.0,3997.0,1.0
46,2500.0,1.0,1.0,2.0,33.0,0.0,120.0,2317.0,0.0,120.0,1990.0,0.0,0.0,2056.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
47,10800.0,2.0,2.0,1.0,40.0,-1.0,0.0,33.0,2.0,33.0,17.0,-1.0,0.0,33.0,0.0,23.0,17.0,-1.0,17.0,23.0,-1.0,17.0,17.0,0.0
48,1500.0,2.0,2.0,1.0,39.0,0.0,120.0,1540.0,0.0,80.0,1475.0,0.0,60.0,1519.0,0.0,60.0,1446.0,0.0,60.0,1477.0,0.0,80.0,1507.0,0.0
49,16000.0,1.0,1.0,2.0,35.0,-1.0,521.0,15.0,-1.0,52.0,508.0,-1.0,0.0,52.0,-1.0,0.0,0.0,-2.0,122.0,0.0,-1.0,151.0,122.0,0.0
50,7200.0,1.0,1.0,1.0,35.0,0.0,145.0,3428.0,0.0,96.0,3372.0,0.0,940.0,2488.0,0.0,152.0,3274.0,0.0,148.0,3143.0,0.0,20.0,3100.0,0.0
51,4100.0,2.0,2.0,2.0,41.0,-1.0,0.0,63.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,-2.0,114.0,-1.0,-1.0,85.0,113.0,-1.0,0.0,85.0,0.0
52,2900.0,2.0,2.0,1.0,36.0,1.0,76.0,1207.0,2.0,48.0,1252.0,2.0,56.0,1267.0,2.0,52.0,1290.0,2.0,56.0,1316.0,2.0,56.0,1344.0,0.0
53,2700.0,1.0,3.0,2.0,36.0,0.0,107.0,2735.0,0.0,103.0,2796.0,0.0,63.0,2799.0,0.0,39.0,2285.0,0.0,40.0,1100.0,0.0,80.0,1087.0,1.0
54,1300.0,1.0,2.0,2.0,48.0,0.0,56.0,518.0,0.0,65.0,565.0,0.0,12.0,614.0,0.0,15.0,201.0,0.0,2.0,211.0,0.0,40.0,2.0,0.0
55,7600.0,1.0,3.0,1.0,30.0,-2.0,40.0,2065.0,-2.0,141.0,392.0,-2.0,37.0,137.0,-2.0,35.0,37.0,-2.0,0.0,-35.0,-2.0,63.0,-39.0,0.0
56,11100.0,2.0,1.0,1.0,37.0,0.0,161.0,3908.0,0.0,172.0,3588.0,0.0,166.0,3472.0,0.0,116.0,3513.0,0.0,100.0,3531.0,0.0,104.0,3587.0,0.0
57,2800.0,1.0,2.0,1.0,35.0,-1.0,197.0,16.0,-1.0,45.0,197.0,0.0,43.0,223.0,0.0,8.0,246.0,0.0,40.0,235.0,0.0,9.0,256.0,1.0
58,15500.0,2.0,2.0,1.0,43.0,2.0,181.0,3146.0,2.0,0.0,2406.0,2.0,61.0,1610.0,0.0,0.0,1655.0,0.0,40.0,1512.0,0.0,143.0,761.0,1.0
59,5500.0,1.0,2.0,1.0,72.0,0.0,203.0,5408.0,0.0,200.0,5413.0,0.0,200.0,5398.0,0.0,241.0,5431.0,0.0,201.0,5547.0,0.0,211.0,5488.0,0.0
60,5600.0,2.0,2.0,1.0,24.0,0.0,91.0,2510.0,0.0,95.0,2560.0,0.0,97.0,2614.0,0.0,97.0,2667.0,0.0,101.0,2720.0,0.0,120.0,2777.0,0.0
61,8900.0,1.0,2.0,1.0,36.0,0.0,260.0,5782.0,0.0,188.0,5499.0,0.0,200.0,5377.0,0.0,200.0,5283.0,0.0,200.0,5253.0,0.0,400.0,5219.0,0.0
62,2000.0,2.0,2.0,2.0,34.0,0.0,160.0,500.0,0.0,80.0,651.0,0.0,40.0,717.0,0.0,80.0,643.0,0.0,96.0,682.0,0.0,40.0,761.0,0.0
63,700.0,2.0,2.0,2.0,27.0,0.0,58.0,718.0,0.0,40.0,752.0,0.0,6.0,774.0,0.0,4.0,320.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0
64,2800.0,2.0,2.0,2.0,35.0,0.0,116.0,2488.0,0.0,95.0,2563.0,0.0,179.0,2592.0,0.0,0.0,2666.0,2.0,73.0,2028.0,0.0,74.0,2032.0,0.0
65,3100.0,2.0,1.0,2.0,28.0,0.0,68.0,1140.0,0.0,60.0,1061.0,0.0,68.0,929.0,0.0,40.0,926.0,0.0,40.0,886.0,0.0,40.0,859.0,0.0
66,5300.0,2.0,2.0,1.0,29.0,0.0,80.0,1289.0,0.0,80.0,1348.0,0.0,80.0,1394.0,0.0,40.0,1362.0,0.0,80.0,1313.0,0.0,285.0,668.0,0.0
67,4100.0,2.0,2.0,2.0,31.0,1.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
68,16700.0,2.0,1.0,2.0,39.0,-1.0,610.0,887.0,-1.0,541.0,610.0,-1.0,3234.0,541.0,-1.0,31.0,3233.0,0.0,34.0,1573.0,0.0,3014.0,1073.0,0.0
69,11900.0,1.0,3.0,1.0,57.0,1.0,7.0,0.0,-1.0,51.0,7.0,-1.0,454.0,51.0,-1.0,15.0,454.0,-1.0,34.0,15.0,-1.0,0.0,34.0,0.0
70,1100.0,2.0,3.0,1.0,37.0,0.0,80.0,1210.0,0.0,65.0,1207.0,0.0,58.0,1190.0,0.0,32.0,1099.0,0.0,200.0,1097.0,0.0,40.0,1105.0,1.0
71,9200.0,2.0,1.0,1.0,44.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,5.0,0.0,-2.0,49.0,5.0,0.0
72,9900.0,1.0,1.0,2.0,27.0,0.0,100.0,2051.0,0.0,100.0,2102.0,0.0,80.0,2151.0,0.0,80.0,2180.0,0.0,120.0,2227.0,0.0,164.0,2319.0,0.0
73,9700.0,2.0,2.0,1.0,26.0,0.0,264.0,7039.0,0.0,148.0,5970.0,0.0,124.0,3748.0,0.0,100.0,3249.0,0.0,121.0,2862.0,0.0,1808.0,2912.0,0.0
74,5900.0,2.0,1.0,2.0,26.0,-1.0,190.0,292.0,-1.0,77.0,190.0,-1.0,326.0,77.0,-1.0,119.0,326.0,-1.0,346.0,119.0,-1.0,0.0,346.0,0.0
75,500.0,1.0,3.0,1.0,34.0,0.0,45.0,301.0,0.0,46.0,326.0,0.0,46.0,351.0,0.0,13.0,375.0,0.0,17.0,383.0,0.0,7.0,362.0,1.0
76,1300.0,2.0,2.0,1.0,27.0,-2.0,0.0,17.0,-2.0,0.0,0.0,-2.0,12.0,0.0,-2.0,0.0,12.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
77,8300.0,2.0,4.0,2.0,67.0,7.0,5433.0,6384.0,11.0,464.0,3961.0,6.0,99.0,1408.0,11.0,3156.0,3448.0,1.0,721.0,6145.0,5.0,3867.0,4501.0,1.0
78,9100.0,2.0,2.0,2.0,32.0,0.0,0.0,1916.0,0.0,0.0,0.0,-2.0,50.0,0.0,-1.0,3206.0,50.0,-1.0,124.0,3206.0,0.0,114.0,3271.0,0.0
79,10800.0,2.0,1.0,2.0,25.0,1.0,0.0,0.0,-2.0,253.0,0.0,-1.0,0.0,253.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
80,6500.0,2.0,1.0,1.0,42.0,-1.0,318.0,976.0,-1.0,43.0,318.0,-1.0,0.0,43.0,-1.0,1604.0,0.0,-1.0,756.0,1604.0,-1.0,167.0,756.0,0.0
81,3100.0,1.0,2.0,2.0,29.0,1.0,0.0,2143.0,2.0,240.0,2085.0,2.0,88.0,2266.0,2.0,0.0,2294.0,2.0,140.0,2233.0,2.0,140.0,2330.0,1.0
82,1100.0,1.0,2.0,2.0,29.0,0.0,74.0,1200.0,0.0,40.0,1196.0,0.0,68.0,1142.0,0.0,994.0,-9.0,-1.0,140.0,957.0,0.0,120.0,1066.0,0.0
83,4400.0,2.0,2.0,2.0,27.0,0.0,160.0,3258.0,0.0,160.0,3330.0,0.0,136.0,3398.0,0.0,136.0,3442.0,0.0,280.0,3522.0,0.0,138.0,3736.0,0.0
84,12000.0,1.0,2.0,2.0,30.0,-1.0,3143.0,3451.0,-1.0,1936.0,3127.0,-1.0,542.0,1927.0,-1.0,206.0,538.0,-1.0,228.0,205.0,-1.0,541.0,227.0,0.0
85,11900.0,1.0,1.0,2.0,29.0,-1.0,0.0,175.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
86,10500.0,1.0,2.0,2.0,32.0,0.0,0.0,2423.0,0.0,0.0,-3.0,-2.0,22.0,-3.0,-1.0,182.0,18.0,-1.0,6640.0,-318.0,-1.0,240.0,6264.0,0.0
87,6300.0,2.0,2.0,1.0,31.0,0.0,0.0,2056.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
88,11300.0,2.0,1.0,2.0,34.0,-1.0,283.0,165.0,-1.0,522.0,280.0,-1.0,0.0,519.0,-1.0,57.0,0.0,-1.0,226.0,56.0,-1.0,242.0,226.0,0.0
89,2100.0,2.0,3.0,1.0,27.0,2.0,1089.0,451.0,0.0,70.0,1506.0,0.0,116.0,1540.0,0.0,0.0,1626.0,2.0,51.0,1589.0,0.0,33.0,1426.0,1.0
90,700.0,1.0,3.0,1.0,42.0,0.0,46.0,326.0,0.0,80.0,360.0,0.0,80.0,434.0,0.0,40.0,507.0,0.0,32.0,526.0,0.0,40.0,550.0,0.0
91,15700.0,2.0,2.0,1.0,31.0,-1.0,186.0,330.0,-1.0,307.0,184.0,-1.0,118.0,304.0,-1.0,3499.0,118.0,-1.0,146.0,3472.0,-1.0,311.0,145.0,0.0
92,8800.0,1.0,1.0,2.0,38.0,0.0,52.0,1374.0,0.0,80.0,1403.0,0.0,80.0,1294.0,0.0,1200.0,1263.0,0.0,120.0,2051.0,0.0,80.0,2144.0,0.0
93,5100.0,1.0,2.0,1.0,39.0,0.0,100.0,1040.0,0.0,132.0,1122.0,0.0,0.0,1236.0,2.0,103.0,1204.0,2.0,0.0,1287.0,2.0,129.0,1261.0,1.0
94,6500.0,2.0,2.0,1.0,36.0,-1.0,200.0,2477.0,0.0,120.0,2637.0,0.0,240.0,2689.0,0.0,240.0,2864.0,0.0,400.0,3020.0,0.0,200.0,3357.0,0.0
95,6300.0,1.0,2.0,1.0,25.0,0.0,174.0,4481.0,0.0,161.0,3432.0,0.0,88.0,2684.0,0.0,160.0,1207.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0
96,11700.0,1.0,2.0,2.0,27.0,0.0,129.0,3954.0,0.0,124.0,3586.0,0.0,6402.0,2018.0,0.0,198.0,7747.0,0.0,208.0,7523.0,0.0,183.0,6484.0,0.0
97,2900.0,2.0,3.0,1.0,51.0,-2.0,42.0,1094.0,-2.0,754.0,-42.0,-1.0,26.0,703.0,0.0,27.0,717.0,0.0,27.0,732.0,0.0,28.0,746.0,0.0
98,7500.0,1.0,2.0,2.0,28.0,0.0,297.0,6210.0,0.0,276.0,5447.0,0.0,204.0,5561.0,0.0,400.0,5601.0,0.0,220.0,5855.0,0.0,268.0,5958.0,0.0
99,15700.0,2.0,1.0,2.0,29.0,0.0,172.0,3445.0,0.0,137.0,3565.0,0.0,134.0,3612.0,0.0,139.0,3690.0,0.0,200.0,3767.0,0.0,400.0,3902.0,0.0
100,500.0,1.0,1.0,2.0,23.0,-1.0,0.0,31.0,2.0,16.0,16.0,-1.0,0.0,16.0,-1.0,31.0,0.0,-1.0,0.0,31.0,-1.0,0.0,0.0,1.0
101,2900.0,2.0,2.0,1.0,26.0,2.0,144.0,1031.0,2.0,0.0,1158.0,2.0,41.0,1127.0,0.0,96.0,1138.0,0.0,48.0,1215.0,2.0,0.0,1237.0,1.0
102,9600.0,1.0,1.0,1.0,58.0,2.0,280.0,7377.0,0.0,247.0,7543.0,0.0,240.0,7680.0,0.0,238.0,7415.0,0.0,211.0,7183.0,0.0,7702.0,3712.0,1.0
103,900.0,2.0,2.0,1.0,27.0,0.0,52.0,707.0,0.0,51.0,669.0,0.0,72.0,708.0,0.0,0.0,769.0,2.0,40.0,752.0,0.0,40.0,773.0,1.0
104,3200.0,2.0,1.0,2.0,28.0,0.0,0.0,172.0,0.0,0.0,0.0,-2.0,115.0,0.0,-1.0,74.0,115.0,-1.0,40.0,74.0,0.0,80.0,114.0,0.0
105,3600.0,1.0,2.0,1.0,56.0,0.0,144.0,3749.0,0.0,204.0,3433.0,0.0,88.0,3560.0,0.0,88.0,2031.0,0.0,78.0,2037.0,0.0,88.0,1949.0,0.0
106,3200.0,2.0,1.0,2.0,26.0,0.0,120.0,1527.0,0.0,80.0,1622.0,2.0,40.0,1663.0,2.0,100.0,1664.0,2.0,40.0,1731.0,2.0,80.0,1736.0,1.0
107,2100.0,1.0,2.0,1.0,34.0,1.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,93.0,0.0,-1.0,0.0,118.0,0.0
108,800.0,2.0,1.0,2.0,21.0,-1.0,11.0,308.0,-1.0,56.0,11.0,-1.0,422.0,56.0,-1.0,0.0,422.0,0.0,384.0,380.0,-1.0,20.0,384.0,1.0
109,1900.0,2.0,1.0,1.0,23.0,-1.0,120.0,234.0,0.0,108.0,349.0,0.0,317.0,400.0,0.0,0.0,717.0,0.0,6.0,272.0,-1.0,8.0,6.0,0.0
110,20100.0,1.0,2.0,1.0,39.0,1.0,0.0,3666.0,2.0,180.0,3539.0,0.0,288.0,3608.0,0.0,0.0,3785.0,2.0,136.0,3705.0,0.0,92.0,3239.0,0.0
111,2100.0,1.0,2.0,2.0,28.0,2.0,0.0,1723.0,2.0,64.0,1677.0,0.0,68.0,1536.0,0.0,41.0,1226.0,0.0,100.0,1239.0,0.0,0.0,1220.0,1.0
112,13600.0,2.0,1.0,2.0,25.0,1.0,105.0,688.0,2.0,54.0,770.0,2.0,21.0,800.0,2.0,1.0,789.0,2.0,9.0,762.0,0.0,56.0,469.0,0.0
113,2100.0,1.0,2.0,1.0,52.0,0.0,92.0,1857.0,0.0,80.0,1652.0,0.0,40.0,1610.0,0.0,40.0,611.0,0.0,40.0,569.0,0.0,40.0,600.0,0.0
114,5100.0,2.0,2.0,1.0,33.0,1.0,216.0,0.0,-1.0,200.0,216.0,0.0,140.0,411.0,0.0,20.0,543.0,0.0,40.0,555.0,0.0,80.0,585.0,0.0
115,700.0,1.0,2.0,2.0,42.0,0.0,51.0,629.0,0.0,64.0,669.0,0.0,52.0,722.0,0.0,27.0,750.0,0.0,34.0,765.0,0.0,35.0,787.0,0.0
116,6000.0,2.0,2.0,2.0,51.0,0.0,47.0,529.0,-1.0,0.0,47.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-2.0,1430.0,0.0,-1.0,58.0,1430.0,0.0
117,7300.0,1.0,2.0,2.0,40.0,0.0,134.0,1179.0,0.0,0.0,1294.0,2.0,80.0,1261.0,0.0,49.0,1320.0,0.0,49.0,1347.0,0.0,108.0,1374.0,0.0
118,20000.0,2.0,1.0,1.0,33.0,-1.0,395.0,86.0,-1.0,163.0,395.0,-1.0,120.0,162.0,-1.0,120.0,120.0,-1.0,323.0,120.0,-1.0,240.0,323.0,0.0
119,4000.0,2.0,1.0,2.0,26.0,1.0,80.0,0.0,-1.0,36.0,40.0,-1.0,32.0,36.0,-1.0,0.0,28.0,-1.0,92.0,-12.0,-1.0,74.0,40.0,0.0
120,13200.0,2.0,2.0,1.0,40.0,1.0,0.0,11595.0,2.0,888.0,11355.0,2.0,480.0,12051.0,2.0,480.0,12270.0,2.0,39.0,12548.0,2.0,940.0,12378.0,0.0
121,1900.0,1.0,1.0,2.0,64.0,0.0,55.0,1854.0,0.0,47.0,802.0,0.0,21.0,749.0,0.0,40.0,714.0,0.0,19.0,584.0,0.0,17.0,453.0,0.0
122,12100.0,2.0,1.0,2.0,32.0,1.0,0.0,0.0,-2.0,494.0,0.0,-1.0,0.0,494.0,0.0,210.0,257.0,-1.0,280.0,210.0,-1.0,0.0,483.0,0.0
123,3100.0,2.0,1.0,2.0,22.0,0.0,64.0,351.0,0.0,0.0,191.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0
124,2000.0,1.0,2.0,2.0,22.0,0.0,80.0,1119.0,0.0,80.0,1149.0,0.0,41.0,1175.0,0.0,40.0,1166.0,0.0,280.0,1001.0,0.0,40.0,1184.0,0.0
125,1900.0,1.0,2.0,2.0,41.0,0.0,400.0,1712.0,0.0,841.0,1287.0,0.0,60.0,1944.0,0.0,120.0,301.0,0.0,48.0,373.0,0.0,316.0,-7.0,0.0
126,2100.0,2.0,2.0,2.0,25.0,-2.0,0.0,0.0,-2.0,1484.0,0.0,-1.0,52.0,1484.0,2.0,0.0,1501.0,2.0,60.0,1465.0,0.0,56.0,1501.0,0.0
127,5700.0,1.0,1.0,1.0,57.0,2.0,0.0,4346.0,2.0,439.0,4220.0,2.0,152.0,4527.0,2.0,190.0,4545.0,2.0,77.0,4656.0,3.0,333.0,4633.0,1.0
128,14400.0,2.0,1.0,2.0,33.0,0.0,245.0,6689.0,0.0,292.0,6674.0,0.0,245.0,5996.0,0.0,180.0,5524.0,0.0,187.0,5525.0,0.0,162.0,5613.0,0.0
