Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status,Repay_Status_sum,Previous_Payment_Prior_sum,Statement_sum
2500,1,1,2,28,0,166,615,-1,777,165,0,40,778,0,40,716,0,40,739,0,40,754,0,-1,1103,3767
11300,2,1,1,38,-1,40,312,0,17,234,-1,82,17,-1,31,82,-1,23,31,-1,41,23,1,-5,234,699
1900,2,1,2,28,1,60,1752,2,52,1767,0,96,171,0,88,200,0,0,229,0,131,59,0,3,427,4178
19900,1,1,1,57,-2,200,548,-2,1247,200,-2,127,1245,-2,0,127,-2,212,0,-2,31,212,0,-12,1817,2332
7900,2,3,1,41,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,20,0,0,-12,20,0
1900,2,2,2,31,0,90,1966,0,76,1989,0,72,1977,0,28,1607,0,40,767,0,40,642,1,0,346,8948
3300,1,1,2,26,0,84,2689,0,240,991,0,8,800,0,0,800,0,0,800,0,0,0,0,0,332,6080
1900,1,3,1,52,0,65,1532,0,82,1572,0,187,1628,0,0,1774,2,159,1741,2,0,1873,0,4,493,10120
2000,1,3,2,60,0,72,1854,0,80,1896,0,60,1945,0,40,1966,0,48,1108,0,44,1102,0,0,344,9871
10700,1,1,1,38,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0,-12,0,0
1500,2,1,2,29,0,200,1237,0,61,1047,0,400,1090,0,400,1176,0,600,786,0,34,928,0,0,1695,6264
3300,2,2,1,39,2,156,3144,2,160,3227,2,0,3309,2,77,3234,0,72,1983,0,72,1934,1,8,537,16831
800,1,2,2,47,0,76,584,0,40,650,2,40,667,0,40,696,0,75,725,0,40,787,0,2,311,4109
3900,2,2,1,24,0,80,830,0,80,802,0,240,791,0,160,998,0,160,1146,0,120,335,0,0,840,4902
2000,1,2,1,24,0,72,1929,0,68,1910,0,63,1846,0,80,1823,0,80,1816,0,64,1799,0,0,427,11123
8400,2,2,1,31,-1,33,79,-1,0,30,-1,0,0,-2,0,0,-2,0,0,-2,0,0,1,-9,33,109
14900,1,1,2,32,0,200,1424,0,120,1593,0,200,1663,0,200,1767,0,320,1914,0,400,2174,0,0,1440,10535
4300,1,2,1,40,0,200,2811,0,200,2964,0,320,3116,0,0,3384,2,280,3294,2,0,3487,1,4,1000,19056
4500,2,3,1,41,0,233,4652,0,231,4751,0,200,4841,0,168,4771,0,200,4646,0,200,4555,0,0,1232,28216
5300,2,2,1,35,1,0,0,-2,12,0,-1,147,12,-1,59,147,-1,222,59,-1,59,222,0,-5,499,440
3300,2,2,1,37,0,100,2542,0,400,2392,0,120,2745,0,120,1626,0,200,1297,0,200,1466,0,0,1140,12068
4800,2,2,2,28,2,212,4474,2,144,4570,2,0,4612,2,136,4496,0,140,4571,0,180,4653,1,8,812,27376
10100,2,2,2,23,-1,54,38,-1,105,54,-1,0,105,0,0,73,0,46,39,-1,69,46,1,-4,274,355
2700,1,1,2,44,1,3,2958,2,120,2884,0,186,1858,0,40,1870,0,40,851,0,0,575,0,3,389,10996
5900,1,3,1,52,0,103,3552,0,105,3626,0,106,3700,0,160,3775,0,126,3904,0,89,3997,1,0,689,22554
2500,1,1,2,33,0,120,2317,0,120,1990,0,0,2056,0,0,0,-2,0,0,-2,0,0,0,-4,240,6363
10800,2,2,1,40,-1,0,33,2,33,17,-1,0,33,0,23,17,-1,17,23,-1,17,17,0,-2,90,140
1500,2,2,1,39,0,120,1540,0,80,1475,0,60,1519,0,60,1446,0,60,1477,0,80,1507,0,0,460,8964
16000,1,1,2,35,-1,521,15,-1,52,508,-1,0,52,-1,0,0,-2,122,0,-1,151,122,0,-7,846,697
7200,1,1,1,35,0,145,3428,0,96,3372,0,940,2488,0,152,3274,0,148,3143,0,20,3100,0,0,1501,18805
4100,2,2,2,41,-1,0,63,-1,0,-1,-2,0,-1,-2,114,-1,-1,85,113,-1,0,85,0,-8,199,258
2900,2,2,1,36,1,76,1207,2,48,1252,2,56,1267,2,52,1290,2,56,1316,2,56,1344,0,11,344,7676
2700,1,3,2,36,0,107,2735,0,103,2796,0,63,2799,0,39,2285,0,40,1100,0,80,1087,1,0,432,12802
1300,1,2,3,48,0,56,518,0,65,565,0,12,614,0,15,201,0,2,211,0,40,2,0,0,190,2111
7600,1,3,1,30,-2,40,2065,-2,141,392,-2,37,137,-2,35,37,-2,0,-35,-2,63,-39,0,-12,316,2557
11100,2,1,1,37,0,161,3908,0,172,3588,0,166,3472,0,116,3513,0,100,3531,0,104,3587,0,0,819,21599
2800,1,2,1,35,-1,197,16,-1,45,197,0,43,223,0,8,246,0,40,235,0,9,256,1,-2,342,1173
15500,2,2,1,43,2,181,3146,2,0,2406,2,61,1610,0,0,1655,0,40,1512,0,143,761,1,6,425,11090
5500,1,2,1,72,0,203,5408,0,200,5413,0,200,5398,0,241,5431,0,201,5547,0,211,5488,0,0,1256,32685
5600,2,2,1,24,0,91,2510,0,95,2560,0,97,2614,0,97,2667,0,101,2720,0,120,2777,0,0,601,15848
8900,1,2,1,36,0,260,5782,0,188,5499,0,200,5377,0,200,5283,0,200,5253,0,400,5219,0,0,1448,32413
2000,2,2,2,34,0,160,500,0,80,651,0,40,717,0,80,643,0,96,682,0,40,761,0,0,496,3954
700,2,2,2,27,0,58,718,0,40,752,0,6,774,0,4,320,0,0,196,0,0,0,0,0,108,2760
2800,2,2,2,35,0,116,2488,0,95,2563,0,179,2592,0,0,2666,2,73,2028,0,74,2032,0,2,537,14369
3100,2,1,2,28,0,68,1140,0,60,1061,0,68,929,0,40,926,0,40,886,0,40,859,0,0,316,5801
5300,2,2,1,29,0,80,1289,0,80,1348,0,80,1394,0,40,1362,0,80,1313,0,285,668,0,0,645,7374
4100,2,2,2,31,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0,-9,0,0
16700,2,1,2,39,-1,610,887,-1,541,610,-1,3234,541,-1,31,3233,0,34,1573,0,3014,1073,0,-4,7464,7917
11900,1,3,1,57,1,7,0,-1,51,7,-1,454,51,-1,15,454,-1,34,15,-1,0,34,0,-4,561,561
1100,2,3,1,37,0,80,1210,0,65,1207,0,58,1190,0,32,1099,0,200,1097,0,40,1105,1,0,475,6908
9200,2,1,1,44,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,5,0,-2,49,5,0,-12,54,5
9900,1,1,2,27,0,100,2051,0,100,2102,0,80,2151,0,80,2180,0,120,2227,0,164,2319,0,0,644,13030
9700,2,2,1,26,0,264,7039,0,148,5970,0,124,3748,0,100,3249,0,121,2862,0,1808,2912,0,0,2565,25780
5900,2,1,2,26,-1,190,292,-1,77,190,-1,326,77,-1,119,326,-1,346,119,-1,0,346,0,-6,1058,1350
500,1,3,1,34,0,45,301,0,46,326,0,46,351,0,13,375,0,17,383,0,7,362,1,0,174,2098
1300,2,2,1,27,-2,0,17,-2,0,0,-2,12,0,-2,0,12,-2,0,0,-2,0,0,0,-12,12,29
9100,2,2,2,32,0,0,1916,0,0,0,-2,50,0,-1,3206,50,-1,124,3206,0,114,3271,0,-4,3494,8443
10800,2,1,2,25,1,0,0,-2,253,0,-1,0,253,-1,0,0,-2,0,0,-2,0,0,0,-7,253,253
6500,2,1,1,42,-1,318,976,-1,43,318,-1,0,43,-1,1604,0,-1,756,1604,-1,167,756,0,-6,2888,3697
3100,1,2,2,29,1,0,2143,2,240,2085,2,88,2266,2,0,2294,2,140,2233,2,140,2330,1,11,608,13351
1100,1,2,2,29,0,74,1200,0,40,1196,0,68,1142,0,994,-9,-1,140,957,0,120,1066,0,-1,1436,5552
4400,2,2,2,27,0,160,3258,0,160,3330,0,136,3398,0,136,3442,0,280,3522,0,138,3736,0,0,1010,20686
12000,1,2,2,30,-1,3143,3451,-1,1936,3127,-1,542,1927,-1,206,538,-1,228,205,-1,541,227,0,-6,6596,9475
11900,1,1,2,29,-1,0,175,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0,-10,0,175
10500,1,2,2,32,0,0,2423,0,0,-3,-2,22,-3,-1,182,18,-1,6640,-318,-1,240,6264,0,-5,7084,8381
6300,2,2,1,31,0,0,2056,0,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0,-8,0,2056
11300,2,1,2,34,-1,283,165,-1,522,280,-1,0,519,-1,57,0,-1,226,56,-1,242,226,0,-6,1330,1246
2100,2,3,1,27,2,1089,451,0,70,1506,0,116,1540,0,0,1626,2,51,1589,0,33,1426,1,4,1359,8138
700,1,3,1,42,0,46,326,0,80,360,0,80,434,0,40,507,0,32,526,0,40,550,0,0,318,2703
15700,2,2,1,31,-1,186,330,-1,307,184,-1,118,304,-1,3499,118,-1,146,3472,-1,311,145,0,-6,4567,4553
8800,1,1,2,38,0,52,1374,0,80,1403,0,80,1294,0,1200,1263,0,120,2051,0,80,2144,0,0,1612,9529
5100,1,2,1,39,0,100,1040,0,132,1122,0,0,1236,2,103,1204,2,0,1287,2,129,1261,1,6,464,7150
6500,2,2,1,36,-1,200,2477,0,120,2637,0,240,2689,0,240,2864,0,400,3020,0,200,3357,0,-1,1400,17044
6300,1,2,1,25,0,174,4481,0,161,3432,0,88,2684,0,160,1207,0,0,0,-2,0,0,1,-2,583,11804
11700,1,2,2,27,0,129,3954,0,124,3586,0,6402,2018,0,198,7747,0,208,7523,0,183,6484,0,0,7244,31312
2900,2,3,1,51,-2,42,1094,-2,754,-42,-1,26,703,0,27,717,0,27,732,0,28,746,0,-5,904,3950
7500,1,2,2,28,0,297,6210,0,276,5447,0,204,5561,0,400,5601,0,220,5855,0,268,5958,0,0,1665,34632
15700,2,1,2,29,0,172,3445,0,137,3565,0,134,3612,0,139,3690,0,200,3767,0,400,3902,0,0,1182,21981
500,1,1,2,23,-1,0,31,2,16,16,-1,0,16,-1,31,0,-1,0,31,-1,0,0,1,-3,47,94
2900,2,2,1,26,2,144,1031,2,0,1158,2,41,1127,0,96,1138,0,48,1215,2,0,1237,1,8,329,6906
9600,1,1,1,58,2,280,7377,0,247,7543,0,240,7680,0,238,7415,0,211,7183,0,7702,3712,1,2,8918,40910
900,2,2,1,27,0,52,707,0,51,669,0,72,708,0,0,769,2,40,752,0,40,773,1,2,255,4378
3200,2,1,2,28,0,0,172,0,0,0,-2,115,0,-1,74,115,-1,40,74,0,80,114,0,-4,309,475
3600,1,2,1,56,0,144,3749,0,204,3433,0,88,3560,0,88,2031,0,78,2037,0,88,1949,0,0,690,16759
3200,2,1,2,26,0,120,1527,0,80,1622,2,40,1663,2,100,1664,2,40,1731,2,80,1736,1,8,460,9943
2100,1,2,1,34,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,93,0,-1,0,118,0,-8,93,118
800,2,1,2,21,-1,11,308,-1,56,11,-1,422,56,-1,0,422,0,384,380,-1,20,384,1,-5,893,1561
1900,2,1,1,23,-1,120,234,0,108,349,0,317,400,0,0,717,0,6,272,-1,8,6,0,-2,559,1978
20100,1,2,1,39,1,0,3666,2,180,3539,0,288,3608,0,0,3785,2,136,3705,0,92,3239,0,5,696,21542
2100,1,2,2,28,2,0,1723,2,64,1677,0,68,1536,0,41,1226,0,100,1239,0,0,1220,1,4,273,8621
13600,2,1,2,25,1,105,688,2,54,770,2,21,800,2,1,789,2,9,762,0,56,469,0,9,246,4278
2100,1,2,1,52,0,92,1857,0,80,1652,0,40,1610,0,40,611,0,40,569,0,40,600,0,0,332,6899
5100,2,2,1,33,1,216,0,-1,200,216,0,140,411,0,20,543,0,40,555,0,80,585,0,0,696,2310
700,1,2,2,42,0,51,629,0,64,669,0,52,722,0,27,750,0,34,765,0,35,787,0,0,263,4322
6000,2,2,2,51,0,47,529,-1,0,47,-1,0,0,-2,0,0,-2,1430,0,-1,58,1430,0,-7,1535,2006
7300,1,2,2,40,0,134,1179,0,0,1294,2,80,1261,0,49,1320,0,49,1347,0,108,1374,0,2,420,7775
20000,2,1,1,33,-1,395,86,-1,163,395,-1,120,162,-1,120,120,-1,323,120,-1,240,323,0,-6,1361,1206
4000,2,1,2,26,1,80,0,-1,36,40,-1,32,36,-1,0,28,-1,92,-12,-1,74,40,0,-4,314,132
13200,2,2,1,40,1,0,11595,2,888,11355,2,480,12051,2,480,12270,2,39,12548,2,940,12378,0,11,2827,72197
1900,1,1,2,64,0,55,1854,0,47,802,0,21,749,0,40,714,0,19,584,0,17,453,0,0,199,5156
12100,2,1,2,32,1,0,0,-2,494,0,-1,0,494,0,210,257,-1,280,210,-1,0,483,0,-4,984,1444
3100,2,1,2,22,0,64,351,0,0,191,0,0,0,-2,0,0,-2,0,0,-2,0,0,0,-6,64,542
2000,1,2,2,22,0,80,1119,0,80,1149,0,41,1175,0,40,1166,0,280,1001,0,40,1184,0,0,561,6794
1900,1,2,2,41,0,400,1712,0,841,1287,0,60,1944,0,120,301,0,48,373,0,316,-7,0,0,1785,5610
2100,2,2,2,25,-2,0,0,-2,1484,0,-1,52,1484,2,0,1501,2,60,1465,0,56,1501,0,-1,1652,5951
5700,1,1,1,57,2,0,4346,2,439,4220,2,152,4527,2,190,4545,2,77,4656,3,333,4633,1,13,1191,26927
14400,2,1,2,33,0,245,6689,0,292,6674,0,245,5996,0,180,5524,0,187,5525,0,162,5613,0,0,1311,36021
11300,1,1,2,33,-1,0,86,-1,0,0,-2,233,0,-1,117,233,-1,1694,116,-1,97,1685,1,-7,2141,2120
8000,2,1,2,27,1,336,2232,-1,197,334,-1,204,196,-1,782,203,-1,0,779,-1,5,0,0,-4,1524,3744
19900,2,1,2,29,2,240,3942,0,526,4082,0,0,4468,2,120,3123,0,200,3135,0,400,3236,1,4,1486,21986
2400,1,3,2,28,0,88,2255,0,112,2306,0,71,2381,0,54,2345,0,60,1540,0,61,1540,0,0,446,12367
10400,2,2,1,31,-2,361,134,-2,174,359,-2,557,173,-2,80,554,-2,226,79,-2,159,225,0,-12,1557,1524
14400,2,2,1,32,0,41,704,0,1,239,0,66,-1,-2,3560,-67,-2,120,3493,-2,120,3584,0,-6,3908,7952
8400,2,2,1,34,0,61,538,0,52,591,0,45,598,0,17,630,0,16,643,0,11,551,0,0,202,3551
3300,1,1,2,33,-2,520,10064,-1,0,10584,2,48,175,0,20,220,0,40,236,0,40,272,0,-1,668,21551
3900,1,2,1,29,-1,84,48,-1,0,84,-1,0,0,-2,0,0,-2,0,0,-2,173,0,1,-9,257,132
1900,2,2,1,49,0,83,2048,0,94,2026,0,70,1960,0,65,1976,0,61,1954,0,88,1911,0,0,461,11875
1300,2,2,2,20,0,144,1089,0,0,1159,2,56,1114,0,19,1098,0,17,974,0,0,848,0,2,236,6282
6300,1,2,1,42,-1,52,13,-1,26,52,-1,3186,13,-1,0,3186,0,1973,13,-1,13,1973,1,-5,5250,5250
3200,2,2,2,45,0,127,3082,0,104,3124,0,120,2340,0,68,2042,0,28,761,0,35,777,0,0,482,12126
19700,2,2,2,36,0,2091,558,-1,2297,434,-1,43,2297,0,120,1422,0,921,634,-1,809,921,0,-3,6281,6266
5100,2,2,1,40,-1,47,102,0,54,75,-1,64,54,-1,25,64,-1,34,25,-1,116,34,0,-5,340,354
3700,2,3,1,48,0,144,4180,0,135,3998,0,133,3808,0,127,3620,0,160,3426,0,94,3191,0,0,793,22223
21100,2,3,1,49,0,400,8795,0,400,8941,0,400,8264,0,280,11034,0,280,6526,0,200,6594,0,0,1960,50154
12100,2,1,2,37,1,0,414,3,0,388,2,0,151,0,0,77,0,94,13,-1,0,94,0,5,94,1137
4700,1,3,1,39,-1,56,488,2,0,524,2,200,504,0,200,695,0,0,883,3,0,857,1,6,456,3951
7500,2,3,1,70,4,1192,2123,6,396,583,7,1211,1567,6,1414,2374,10,1323,3901,2,1570,3120,0,35,7106,13668
14400,2,2,2,33,0,200,466,0,400,565,0,200,940,0,140,525,0,0,539,0,0,0,0,0,940,3035
1300,2,2,1,55,2,72,1040,2,52,1084,2,96,1106,2,0,1172,3,48,1142,2,100,1165,1,13,368,6709
16300,2,2,2,43,0,65,1500,0,41,1341,0,569,291,-1,5285,568,-1,6521,5284,0,401,11576,0,-2,12882,20560
7900,1,1,1,30,3,0,100,2,0,100,2,0,100,2,0,100,2,0,100,2,0,100,1,13,0,600
900,1,2,2,23,2,36,626,3,64,640,2,8,682,2,24,667,2,28,668,0,84,679,0,11,244,3962
2300,2,3,2,32,0,60,2502,0,60,1077,0,40,1119,0,60,1141,0,60,1131,0,42,1166,0,0,322,8136
7200,2,1,2,32,-2,9,440,-2,62,9,-2,0,62,-2,0,0,-2,0,0,-2,0,0,0,-12,71,511
9700,2,2,1,40,-1,69,179,-1,404,69,-1,347,402,-1,183,346,-1,157,183,-1,101,157,0,-6,1261,1336
2500,2,2,2,22,-1,0,139,2,977,100,-1,81,838,0,600,898,0,80,859,0,80,927,0,0,1818,3761
8400,1,3,2,36,-1,46,34,-1,61,45,-1,2176,60,-1,1200,2176,0,150,3246,0,17,3303,0,-4,3650,8864
2700,2,1,2,27,0,200,1713,0,800,1882,0,400,2508,0,240,1158,0,200,654,0,320,847,0,0,2160,8762
1300,1,2,2,41,3,0,1045,3,0,1017,2,69,989,0,48,1042,0,44,1060,0,46,1081,1,8,207,6234
300,2,2,2,29,1,49,358,2,0,395,2,20,382,0,18,392,0,0,346,0,0,0,1,5,87,1873
14400,1,1,2,33,0,320,3270,0,402,3279,0,400,3609,0,402,3456,0,402,3787,0,360,3731,0,0,2286,21132
18800,2,2,2,32,0,12000,19657,0,637,19546,0,476,19415,0,4800,14438,0,255,13544,0,10000,4949,1,0,28168,91549
13300,1,2,1,31,0,48,1005,0,46,664,0,53,703,0,160,503,0,12,650,0,28,329,0,0,347,3854
1900,2,2,1,38,0,98,269,0,0,362,2,53,351,0,14,397,0,15,399,0,20,407,0,2,200,2185
3100,2,2,2,24,2,0,48,2,0,48,5,0,48,5,0,48,4,0,24,3,0,12,1,21,0,228
900,1,3,2,42,0,94,238,0,0,327,2,6,314,0,0,320,0,0,0,-2,0,0,1,0,100,1199
4500,2,2,1,55,2,136,3804,2,0,3798,2,132,3658,0,280,3684,0,0,3860,2,140,3751,1,8,688,22555
6100,2,2,2,22,1,2,6839,2,240,6632,0,157,5840,0,163,4556,0,180,4623,0,923,4475,0,3,1665,32965
1900,1,3,2,28,0,80,1915,0,80,1930,0,40,770,0,40,771,0,40,762,0,40,782,0,0,320,6930
11900,1,2,1,45,0,840,8928,0,240,9562,2,146,9595,2,240,9356,0,240,6781,0,240,6415,0,4,1946,50637
8400,2,1,2,32,0,43,587,0,157,49,0,69,162,0,0,75,2,10,53,-1,434,10,1,1,713,936
9200,2,3,1,52,-2,158,39,-2,90,157,-2,57,89,-2,0,56,-2,0,0,-2,9,0,0,-12,314,341
4100,2,2,1,35,0,120,4249,0,68,3929,0,62,1699,0,64,1733,0,80,1769,0,80,1820,0,0,474,15199
8100,2,2,1,50,0,0,40,0,20,0,-2,36,20,-1,0,36,-1,0,0,-2,0,0,0,-6,56,96
900,1,1,2,25,-1,181,152,-1,327,179,-1,317,327,-1,122,316,-1,65,118,-1,152,49,0,-6,1164,1141
8300,2,1,2,32,-2,112,56,-2,56,112,-2,0,56,-2,1084,56,-1,62,1084,0,3000,1026,0,-9,4314,2390
6300,1,1,2,28,-1,44,44,-1,0,44,-1,272,0,-1,0,272,-1,0,0,-2,0,0,0,-7,316,360
9900,1,1,2,38,0,280,5728,0,140,5856,0,124,3669,0,128,3536,0,140,3612,0,140,3698,0,0,952,26099
8000,2,1,2,26,0,164,2353,0,120,2480,0,120,294,0,0,379,2,40,342,2,0,307,0,4,444,6155
4000,2,1,2,29,2,120,2289,2,60,2347,2,60,2346,2,224,2344,2,124,2503,2,80,2581,1,12,668,14410
8100,1,2,1,32,1,0,0,-2,8,0,-1,0,8,-1,0,0,-2,0,0,-2,0,0,0,-7,8,8
11700,1,2,1,52,-1,41,199,0,40,148,0,40,127,0,60,91,-1,75,60,-1,91,75,0,-3,347,700
5200,2,2,1,54,0,272,8425,0,272,8612,0,213,8799,0,80,8845,0,40,876,0,40,882,0,0,917,36439
2000,2,1,1,33,-2,0,2056,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0,-12,0,2056
5700,1,2,2,27,0,680,5255,0,0,5848,2,456,5608,2,22,5761,2,212,5617,2,216,5211,1,8,1586,33300
2700,1,1,2,37,2,0,2001,2,160,1958,2,0,2072,2,200,2027,2,0,2194,2,160,2152,1,12,520,12404
1300,2,2,1,28,0,132,865,0,40,971,2,40,983,2,44,995,2,40,1017,2,44,1034,1,8,340,5865
2000,2,2,1,54,0,64,1480,0,80,1477,0,60,1397,0,40,1275,0,80,1160,0,80,1176,1,0,404,7965
24700,2,1,2,38,-1,346,485,-1,25,318,-1,641,25,-1,114,641,-1,168,103,-1,37,115,0,-6,1331,1687
8100,2,1,1,34,-1,0,34,2,125,17,-1,200,125,0,160,303,0,3600,442,0,600,3898,0,0,4685,4819
3100,2,2,2,27,1,360,0,-1,15,360,-1,0,15,-1,0,0,-2,15,0,-1,0,15,0,-5,390,390
3300,2,2,1,40,-1,206,139,-1,258,206,0,157,334,-1,73,129,-1,92,73,-1,76,76,0,-5,862,957
400,1,2,1,30,-1,0,16,-1,31,0,-1,0,31,-1,0,0,-2,0,0,-2,0,0,1,-8,31,47
4500,1,2,1,35,1,264,2141,2,0,2346,3,0,2286,2,160,2199,0,140,2297,0,88,2368,1,8,652,13637
1300,1,2,1,40,1,120,904,2,0,997,2,120,969,0,93,1072,0,0,1148,2,48,1124,1,7,381,6214
1200,2,3,1,23,1,0,1215,2,57,1034,0,60,1039,0,100,1081,0,56,1163,2,56,1195,1,5,329,6727
3200,2,1,2,20,0,2606,261,-1,95,2606,0,80,2146,0,80,2011,0,120,1647,0,40,1146,0,-1,3021,9817
5200,2,2,2,25,0,166,5419,0,5502,5044,-1,141,5145,0,47,4136,0,0,1626,0,0,444,0,-1,5856,21814
1900,2,2,1,31,0,246,1605,0,0,1824,2,145,1783,2,0,1885,2,74,1850,0,74,1887,1,6,539,10834
700,2,1,2,21,-1,0,48,-1,7,0,-1,48,7,-1,57,48,-1,0,57,-1,39,0,0,-6,151,160
19900,2,1,2,50,-1,15,7,-1,21,15,-1,0,21,-1,836,-1,-1,840,832,-1,4,836,0,-6,1716,1710
5900,1,1,1,51,-2,595,619,-2,784,594,-2,531,784,-2,573,530,-2,1368,573,-2,315,1368,0,-12,4166,4468
2100,2,1,2,26,2,156,1828,2,0,1954,2,152,1910,2,0,2032,2,160,1996,2,0,1999,1,12,468,11719
9300,1,1,2,30,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0,-9,0,0
800,2,2,2,29,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1,-9,0,0
12400,1,2,1,35,0,124,3584,0,144,3335,0,95,3221,0,81,2814,0,80,2335,0,68,2058,0,0,592,17347
14300,1,1,1,40,-1,46,11,-1,0,46,2,88,11,-1,21,88,-1,0,21,0,11,11,0,-2,166,188
6900,2,2,2,54,-1,0,191,-1,18,0,-1,0,18,-1,17,0,-1,59,17,-1,28,59,1,-6,122,285
10800,1,1,2,31,0,45,381,0,60,417,0,80,257,0,40,288,0,8,285,0,40,223,0,0,273,1851
8000,1,1,2,25,-2,290,204,-2,609,290,-2,360,608,-2,359,360,-2,344,359,-2,332,344,0,-12,2294,2165
19900,2,1,1,41,-2,16,145,-2,20,0,-1,0,20,2,22,20,2,22,36,-2,0,22,0,-3,80,243
5900,2,3,2,49,0,280,6136,0,280,6149,0,280,6022,0,208,6124,0,220,6082,0,252,6059,0,0,1520,36572
6100,2,1,2,34,-2,151,80,-2,80,151,-2,80,80,-2,60,80,-2,60,60,-2,60,60,0,-12,491,511
1100,2,3,1,60,0,49,393,0,44,435,0,17,386,0,24,400,0,20,415,0,20,206,0,0,174,2235
7300,2,2,2,26,0,56,419,0,45,472,0,40,500,0,60,535,0,40,590,0,40,619,0,0,281,3135
6500,1,3,2,54,0,261,6227,0,266,6295,0,109,6263,0,100,2913,0,92,2673,0,88,2537,0,0,916,26908
3200,2,2,1,26,0,119,3082,0,98,3150,0,64,3190,0,32,1620,0,52,1168,0,14,1185,1,0,379,13395
