Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
1300,1,2,2,44,-1,119,111,-1,89,119,-1,56,89,-1,162,56,-1,123,162,-1,88,123,0
5700,1,2,2,45,0,126,3405,0,165,3476,0,129,3583,0,134,3617,0,136,3693,0,140,3768,1
2100,2,3,1,49,0,81,2018,0,85,1390,0,20,852,0,80,696,0,80,711,0,80,695,1
8100,2,1,1,40,-1,54,71,-1,0,54,2,280,10,2,0,290,2,420,106,-1,140,408,0
9900,2,3,1,45,-2,553,338,-2,920,551,-2,1003,920,-1,925,968,-1,160,925,-1,1146,160,0
5100,2,2,2,32,0,232,5073,0,40,5155,0,0,625,0,0,0,-2,0,0,-2,0,0,0
3300,2,1,2,23,2,275,2994,2,1,3218,2,85,3130,0,144,2643,0,64,2030,2,1,2060,1
3600,2,2,1,55,-1,16,28,-1,13,16,-1,583,13,-1,84,583,-1,20,84,-1,17,20,0
6900,1,1,1,44,2,14,14,-1,14,14,-1,14,14,-1,14,14,-1,35,14,-1,0,35,0
2000,2,3,1,30,2,84,1855,2,0,1897,2,144,1854,2,76,1969,2,0,1941,2,131,1871,1
1800,1,4,2,34,0,560,839,2,706,1090,4,777,1323,9,856,1782,11,8,15,3,522,970,1
8000,2,2,1,40,-2,0,-31,-2,68,-31,-2,80,36,-1,0,80,0,2,80,0,0,0,0
700,1,3,2,22,1,221,0,-1,560,221,0,5,755,0,20,722,0,0,727,2,0,680,0
20100,2,2,1,67,-1,70,149,-1,120,70,-1,466,120,-1,529,466,-1,12140,529,-1,0,12140,0
1200,2,2,1,30,-1,16,96,-1,99,16,-1,122,99,-1,0,122,-1,0,0,-2,0,0,0
8800,2,1,2,38,-2,4,5,-2,106,4,-2,99,105,-2,34,98,-2,111,34,-2,91,111,0
11200,2,2,2,29,0,280,5906,0,400,6028,0,240,6271,0,208,6249,0,240,6365,0,216,6526,0
8100,1,3,1,45,2,440,5913,0,440,4867,0,200,2690,0,200,2792,0,200,2890,0,120,3011,1
700,2,3,1,25,0,60,252,0,70,96,0,20,163,2,0,174,0,0,132,0,0,132,1
700,1,2,1,34,0,58,684,0,64,731,0,15,777,0,16,768,0,16,784,0,0,800,1
8100,1,2,2,36,-1,185,45,-1,174,185,-1,66,173,-2,265,66,-1,28,265,-1,0,28,0
2000,1,1,2,47,0,0,2056,0,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
9200,1,1,1,46,-1,21,21,-1,111,21,-1,1,111,0,0,94,0,0,76,0,0,4,1
7500,1,1,2,31,1,89,0,-1,0,89,2,0,3,2,3,3,2,177,0,-1,0,177,1
1600,1,1,2,28,0,200,866,0,200,771,0,62,763,0,280,634,0,20,705,0,80,443,0
6100,1,2,1,53,1,152,3061,2,0,3140,2,112,3066,0,120,3108,0,120,3178,0,128,3245,1
3300,2,2,2,23,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
5700,2,1,2,40,3,163,3650,5,3673,3916,12,337,4730,7,492,541,9,5387,5678,9,2229,2974,0
20000,2,1,1,32,-2,6,16,-2,92,6,-2,50,92,-1,48,50,-1,46,48,-1,633,46,0
1900,1,1,1,34,0,80,1016,0,80,1080,0,60,1130,0,40,1167,0,37,1148,0,72,1173,1
500,1,2,2,25,3,0,401,2,64,370,2,20,401,2,0,409,2,40,397,2,0,395,1
900,1,2,2,35,1,0,698,2,40,675,0,7,699,0,0,366,0,0,0,-2,0,0,0
5700,2,1,2,32,0,82,2843,0,78,2211,0,60,2028,0,65,1954,0,61,1897,0,62,1703,0
15500,2,1,2,32,0,200,2433,0,100,2452,0,120,2373,0,100,2314,0,80,2236,0,80,2141,0
1300,2,2,2,26,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
19700,1,1,2,30,0,614,16899,0,602,17222,0,580,15707,0,560,15601,0,601,15867,0,427,16195,0
5300,1,2,2,32,2,80,804,2,0,858,3,48,833,2,48,855,0,64,889,0,60,939,1
5300,2,1,1,41,-1,392,31,-1,0,385,2,304,330,2,0,596,2,200,550,0,400,305,1
2100,2,2,2,26,2,0,1660,2,108,1598,2,198,1668,2,68,1825,2,0,1836,2,120,1786,1
3900,1,1,1,33,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,39,0,-1,33,39,1
800,1,3,1,50,0,50,768,0,55,804,0,45,670,0,12,699,0,12,376,0,14,383,1
3700,2,1,2,28,2,80,639,2,0,697,2,160,674,2,0,822,2,80,797,2,0,858,1
3700,2,2,2,23,1,34,0,-1,17,34,-1,0,17,-1,46,0,-1,0,46,2,23,6,1
8400,2,1,1,35,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
2100,2,3,2,23,0,901,436,-1,160,675,-1,0,387,2,120,310,2,760,268,-1,140,623,1
7300,1,2,2,36,-1,4,4,-1,4,4,-1,145,4,-1,0,75,0,36,71,-1,48,24,1
2000,2,3,2,16,8,32,303,5,1132,1538,5,449,2052,7,485,1143,-1,1446,1562,8,1694,1878,1
8100,2,2,1,43,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
5300,1,2,1,33,2,0,5265,2,204,5062,0,164,5110,0,136,4012,0,141,3742,0,149,3821,1
10100,1,1,2,39,-1,0,54,-1,334,-1,-1,0,333,0,921,235,-1,95,921,-1,125,95,1
2700,1,2,2,25,0,141,2715,0,148,2731,0,2851,2695,-1,120,2851,0,120,2846,0,120,2840,1
12900,2,2,1,34,-1,265,91,-1,498,265,-1,710,445,-1,240,553,0,230,720,0,37,610,1
5100,2,3,1,37,0,138,960,0,38,1069,2,0,1078,2,88,1048,2,0,1119,2,36,1095,1
2000,2,2,2,21,0,79,2040,0,98,2039,0,132,2001,0,49,1974,0,43,1218,0,50,1196,1
2400,2,2,1,26,2,114,2457,0,85,2374,0,282,2311,0,0,2492,2,128,2417,0,84,2219,1
2800,2,2,2,43,0,124,3188,0,64,3007,0,3782,3007,-1,45,2775,0,4,1204,0,124,150,1
900,2,2,2,22,2,0,345,4,0,334,3,0,323,2,18,312,0,95,324,0,0,408,1
1900,1,3,2,44,1,0,1969,2,80,1926,0,76,1972,0,80,1989,0,80,1996,0,80,1948,1
10900,1,1,1,53,-1,1274,37,-1,441,1274,-1,48,441,-1,600,48,-1,104,600,-1,51,104,0
7100,2,2,1,34,-2,11,419,-2,373,11,-2,1066,373,-2,11,1066,-2,65,11,-2,11,65,1
4500,1,1,2,23,0,105,2566,0,85,2630,0,78,2661,0,80,2707,0,59,1563,0,32,1595,0
800,2,2,2,25,0,52,753,0,80,776,0,80,748,0,40,773,0,40,649,0,120,664,0
2100,2,2,1,30,0,100,1832,0,76,1889,0,76,1923,0,95,1966,0,25,2026,0,32,517,1
1300,2,2,1,29,-1,47,17,-1,55,47,-1,35,55,-1,20,35,0,0,31,0,60,0,1
3700,1,1,2,27,0,124,3376,0,324,3444,0,0,3686,2,128,3532,0,120,3534,0,140,3420,0
9300,2,3,1,42,1,226,0,-1,0,153,2,146,73,-1,0,146,0,73,73,-1,73,73,0
8400,1,2,1,31,0,64,1316,0,74,1331,0,48,1367,0,50,1366,0,50,1378,0,48,1389,1
9600,1,2,1,49,-1,17,17,-1,17,17,-1,17,17,-1,17,17,-1,17,17,-1,17,17,0
2100,1,2,1,46,0,56,917,0,56,931,0,34,955,0,35,958,0,39,963,0,38,970,0
12900,2,1,1,39,2,0,100,2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
4700,1,1,1,49,2,14,14,-1,14,14,-1,14,14,-1,6,14,-1,35,6,-1,20,35,1
2800,2,3,1,51,2,180,645,2,0,801,2,80,777,0,40,686,0,80,715,0,28,777,1
5100,2,1,1,22,1,10,5075,2,1185,2509,-1,885,1185,-1,614,884,-1,418,614,-1,185,418,0
10500,1,2,1,43,3,0,8621,3,320,8428,2,0,8550,2,312,8353,0,312,8523,0,332,8694,1
5300,1,2,1,46,0,247,5596,0,79,5255,0,5240,396,-1,0,516,-1,0,0,-2,68,0,1
6000,1,1,1,42,0,200,6095,0,400,4902,0,201,5182,0,400,5259,0,280,5329,0,240,5440,1
1900,1,2,1,45,2,64,420,0,64,477,0,52,520,0,40,552,0,28,582,0,24,601,1
900,1,2,1,38,0,60,665,0,60,714,0,0,760,0,0,0,-2,0,0,-2,0,0,1
15700,2,3,2,42,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,20,0,1
2000,2,3,1,45,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
4300,2,3,2,33,0,99,108,-1,108,99,-1,100,100,-1,0,100,-1,0,0,-2,0,0,0
19900,2,1,2,34,-2,266,471,-2,479,264,-2,0,457,-2,1998,-3,-2,154,1988,-2,478,153,0
2000,1,2,2,39,0,88,2028,0,83,2018,0,28,2009,0,28,806,0,29,803,0,27,780,0
8100,2,2,2,32,-1,47,86,-1,36,47,-1,46,36,-1,12,46,-1,0,12,-1,12,0,0
6100,2,1,2,22,-2,0,116,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
2300,2,2,2,30,2,0,2315,2,162,2254,2,1,2373,2,120,1412,0,1632,706,-1,198,3111,1
20000,1,1,1,36,0,151,4186,0,121,4167,0,413,2829,0,401,1817,0,410,1976,0,4611,2135,0
11900,2,1,1,47,3,0,200,2,0,200,2,0,200,2,0,200,2,0,200,2,0,200,1
3100,2,2,1,40,0,60,957,0,80,935,0,40,891,0,120,865,0,40,918,0,40,771,1
5200,1,2,1,44,-2,0,0,-2,0,0,-2,3879,0,-1,142,3879,0,177,3960,0,132,4073,0
800,1,2,2,35,0,0,736,0,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
2100,1,2,2,49,0,49,650,0,43,531,0,12,433,0,12,421,0,9,410,0,4,230,0
3900,1,2,1,41,0,135,4028,0,160,3781,0,112,3560,0,131,3262,0,117,3024,0,13,2749,1
6500,2,2,2,29,-2,26,88,-2,85,26,-2,219,84,-2,91,219,-2,74,90,-2,222,74,0
20100,2,2,1,34,-2,1418,687,-2,249,1387,-2,461,249,-2,503,461,-2,728,499,-2,1302,728,0
2100,1,2,1,30,1,0,598,3,80,577,2,0,636,2,56,613,2,0,659,2,64,643,1
13700,1,1,1,39,-1,13,13,-1,13,13,-1,23,13,-1,387,23,-1,1168,387,-1,210,1168,0
900,2,2,2,27,2,120,415,2,0,516,2,80,496,2,0,567,2,40,553,0,120,577,1
10500,2,1,1,47,1,74,194,-2,4,74,-1,0,4,-1,5,0,-1,198,5,-1,20,198,0
3600,2,2,2,22,1,0,1591,3,1,1553,2,73,1466,0,47,1310,0,54,1324,0,49,1332,0
300,2,2,2,48,1,0,381,2,40,369,0,56,402,0,40,351,0,40,359,0,80,305,0
2100,2,2,2,37,0,68,581,0,52,628,0,36,657,0,32,682,0,32,703,0,36,724,0
800,2,1,2,24,0,58,280,0,80,332,2,13,401,0,20,368,0,14,382,0,14,383,1
2500,1,1,2,28,-1,98,33,-1,0,98,2,40,58,0,53,65,-1,36,53,-1,6,73,0
14400,1,2,2,28,0,377,10724,0,350,10535,0,281,10399,0,286,10233,0,283,9818,0,292,10010,0
2700,2,2,2,90,12,189,421,5,696,1945,11,1,746,10,1185,1201,4,1080,1872,11,736,1613,0
1300,1,3,2,24,0,0,48,0,0,-2,-2,0,-18,-2,0,-33,-2,0,-49,-2,80,-49,0
10700,2,2,2,40,-2,80,457,-2,40,242,-2,0,167,-2,0,73,-2,267,20,-2,41,265,0
6900,2,3,1,40,-1,0,40,-1,39,0,-1,40,39,-1,44,40,-1,0,44,-1,36,0,0
10100,1,2,2,40,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
5600,1,2,2,26,0,80,861,0,80,926,0,57,991,0,80,1031,0,164,1094,0,0,1233,0
10500,2,2,1,39,1,14,0,-1,0,14,-1,0,0,-2,0,0,-2,0,0,-2,0,0,0
8000,1,2,2,27,-1,365,358,-1,0,264,-1,0,0,-2,0,0,-2,0,0,-2,0,0,1
1100,1,3,2,51,0,10,639,-1,817,10,-1,34,697,0,1169,675,-1,29,1169,-1,0,456,0
9100,1,2,1,50,-2,188,863,-2,0,188,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
8100,2,2,1,46,-1,57,116,2,0,115,2,50,57,-1,114,50,-1,0,114,2,50,58,1
6000,1,2,2,30,0,160,618,0,200,757,0,200,944,0,408,1112,0,0,1520,0,0,0,0
11300,2,3,2,49,-1,1591,1103,-1,1160,1557,-1,1080,1080,-1,0,1080,-1,1218,0,-1,239,1218,0
3500,2,2,1,33,0,160,1409,0,0,1533,2,68,1497,0,64,1540,0,60,1579,0,160,1607,0
800,2,2,2,22,-1,0,721,3,24,698,2,40,699,2,40,714,0,40,732,0,28,757,1
8400,2,1,1,29,-2,371,1272,-2,314,371,-2,1529,314,-2,400,1526,-2,1359,378,-2,0,1359,1
700,1,3,1,52,0,80,705,0,40,773,2,40,788,0,40,800,0,40,806,0,32,802,1
18500,1,1,1,51,-1,0,65,-1,192,-8,-1,61,184,-1,0,61,0,52,61,-1,0,52,0
1100,1,1,2,31,-1,176,258,-1,120,176,0,120,121,0,231,180,-1,143,230,-1,1058,142,1
800,1,2,2,24,0,52,759,0,56,796,0,52,722,0,28,761,0,32,695,0,40,716,1
3100,2,2,2,33,-2,0,233,-2,629,0,-1,60,629,0,56,371,0,0,416,0,0,0,0
2900,2,2,1,34,2,264,2733,2,0,2928,3,0,2860,2,100,2759,0,220,2663,0,0,2841,0
2000,1,2,2,24,0,48,397,0,83,204,0,40,225,0,83,177,0,80,204,0,413,227,0
8900,1,1,1,47,2,80,6627,2,240,6540,2,240,6494,0,160,5400,0,114,4997,0,360,3398,1
7300,2,1,2,65,4,2841,2898,6,4134,4694,11,4005,4902,1,178,2888,8,1830,4260,11,4166,6663,1
800,2,1,2,23,0,200,631,0,80,805,0,60,777,0,40,806,0,24,800,0,40,803,1
9600,2,2,1,35,2,72,1299,2,56,1338,2,56,1360,2,56,1382,2,56,1410,2,0,1436,1
1900,2,2,1,27,0,77,2024,0,58,2037,0,46,1734,0,16,405,0,14,385,0,20,393,1
11700,1,1,2,33,2,108,1801,0,68,1788,0,72,1407,0,0,1154,0,0,1125,0,96,121,1
6900,2,2,2,45,0,115,95,-1,16,115,-1,24,16,-1,1220,24,-1,172,1220,-1,0,172,1
4100,1,2,1,46,2,180,4000,0,200,3991,0,180,4089,0,152,3938,0,156,3977,0,160,4062,1
900,1,1,2,27,-1,17,17,-1,17,17,-1,17,17,-1,17,17,-1,39,17,-1,0,39,1
2900,1,2,2,28,1,128,2632,2,0,2695,2,120,2628,0,120,2671,0,60,1445,2,0,1476,1
2500,2,2,1,33,0,60,1983,0,64,1419,0,56,1189,0,40,1176,0,40,1154,0,60,1132,0
9900,2,2,1,38,0,4802,1797,0,177,5484,0,0,3632,0,43,0,-1,0,43,2,2705,37,0
14000,2,1,2,43,2,480,12370,3,560,12584,2,480,12881,2,520,13088,2,520,13331,2,520,13632,1
2100,1,2,2,27,2,18,1946,2,201,1823,2,0,1761,2,400,1469,2,80,1830,2,1,1860,1
1700,2,2,2,23,1,0,1476,2,80,1441,0,97,1480,0,80,1537,2,0,1595,2,40,1571,1
5600,1,2,1,45,1,55,0,-1,0,55,-1,76,0,-1,0,76,0,43,27,-1,0,43,0
2100,2,3,2,52,0,71,1066,0,69,1076,0,44,1099,0,45,1099,0,48,1106,0,40,1114,1
3500,2,3,1,55,0,92,725,0,54,729,0,116,1448,0,15,710,0,15,444,0,15,449,0
7100,1,1,2,32,0,40,122,0,100,74,0,0,130,2,40,84,0,20,60,0,37,70,0
6900,2,1,2,31,1,34,0,-1,0,34,-1,0,0,-2,0,0,-2,75,0,-1,18,75,0
1900,2,2,2,44,5,0,809,4,0,785,3,0,762,2,0,732,0,0,716,0,0,716,1
900,1,2,2,25,0,80,293,0,25,310,-1,179,25,-1,80,179,0,12,259,0,133,139,1
300,1,1,2,26,0,60,356,0,56,264,0,40,309,0,40,340,0,40,326,0,64,200,0
2100,1,2,2,25,0,80,1791,0,80,1841,0,80,1892,0,80,1898,0,133,728,0,40,733,0
18400,1,1,2,32,0,242,6442,0,280,6580,0,240,6749,0,224,6883,0,225,6167,0,244,6290,0
20100,1,3,1,46,-1,67,67,-1,67,67,-1,67,67,-1,352,67,-1,65,352,0,112,351,0
3100,1,3,1,37,-1,183,8,-1,14,94,2,0,50,2,0,0,-2,666,0,-1,0,666,0
900,1,2,1,39,1,0,820,2,64,788,0,0,820,0,16,796,0,0,796,0,0,743,1
1300,2,2,1,26,0,60,1163,0,78,1089,0,80,1133,0,20,1113,0,1000,569,0,49,1305,0
16700,2,2,2,31,0,292,8468,0,354,8200,0,320,8125,0,236,7957,0,240,7027,0,240,6561,0
13300,2,1,2,28,0,530,12899,0,525,13025,0,513,12927,0,574,13008,2,343,13110,2,282,12877,1
3100,1,2,1,43,2,180,1407,2,0,1563,2,137,1527,2,0,1626,2,80,1588,0,120,1642,1
1100,2,3,2,53,3,36,1060,2,159,1067,2,0,1164,2,24,1133,2,0,1154,2,0,218,1
11200,2,1,2,36,-1,80,715,0,1200,560,0,560,1203,-1,40,526,0,640,560,-1,0,622,1
2100,1,3,1,42,0,400,104,0,0,486,2,41,467,0,3,487,0,9,88,0,4,96,1
2800,1,1,2,40,2,0,1830,2,70,1789,0,160,1830,0,160,1959,0,82,2088,2,88,2130,1
2100,1,3,2,28,0,100,1959,0,52,2015,0,34,2011,0,35,816,0,38,808,0,35,788,0
2000,1,2,1,47,-2,106,-106,-2,106,0,-2,60,106,-2,40,0,-2,188,40,-2,1441,188,0
9200,2,3,1,31,8,3273,3313,3,720,5478,7,1119,4741,10,5999,7989,-1,574,645,7,4247,4518,1
2800,1,2,1,39,0,152,942,0,0,1065,2,80,1037,0,88,1087,0,0,1157,2,84,1133,0
3900,2,1,1,52,1,0,0,-2,0,0,-2,12,0,-1,0,12,2,25,6,2,0,31,1
700,2,3,2,48,1,0,740,2,72,716,0,64,723,0,16,757,0,0,749,0,0,686,0
14400,1,1,1,46,0,120,584,0,121,593,0,160,570,0,160,551,0,120,603,0,81,560,1
9500,1,2,1,38,0,72,467,0,46,401,0,81,325,0,40,336,0,4,183,0,7,142,0
3300,2,2,1,41,0,79,2103,0,165,2147,0,123,2276,0,89,2361,0,1200,4703,0,120,2915,0
13900,2,2,2,27,0,800,13117,0,360,13696,2,603,13778,0,200,14053,0,160,5732,0,160,3922,1
14500,2,1,2,35,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,56,0,-1,515,56,0
8400,2,1,1,49,0,283,8100,0,240,6929,0,240,4685,0,200,8506,0,120,4312,0,240,2522,0
1900,1,2,2,33,5,0,1870,4,0,1829,3,0,1790,2,50,1742,0,54,1762,0,51,1800,0
7100,2,2,2,76,-1,128,312,10,73,6521,12,4824,4996,9,2838,3658,9,88,2066,4,909,1014,0
1200,2,2,1,25,2,72,1022,2,64,1066,2,56,1101,2,64,1128,4,64,1162,3,64,1196,1
19900,1,1,1,38,-1,42,16,-1,769,42,-1,4002,769,0,3780,4668,0,400,7779,0,1600,7818,0
1200,2,2,1,51,0,80,821,0,80,833,0,200,880,0,1010,621,-1,0,1010,-1,200,0,1
2100,1,3,2,28,0,92,1822,0,72,1871,0,48,1720,0,56,1170,0,60,1165,0,60,1152,0
5600,2,2,1,30,-1,0,78,2,19,55,-1,13,19,-1,22,13,-1,16,22,-1,27,16,1
6000,1,3,1,48,0,162,161,-1,115,162,-1,163,114,-1,188,156,-1,69,188,-1,0,69,0
700,2,3,1,41,2,0,612,3,40,591,2,80,609,2,0,667,3,40,645,2,40,662,1
8000,1,1,1,36,-1,460,155,-1,40,460,0,12,237,-1,117,12,-1,0,75,-1,0,0,0
2500,2,2,2,23,0,60,315,0,80,370,0,50,443,0,200,485,0,40,676,0,28,705,1
2100,1,2,1,49,1,96,2017,2,0,2037,2,92,1979,0,40,2002,0,40,794,0,40,771,1
2000,1,2,1,48,2,0,791,2,120,767,2,0,875,2,106,849,2,0,940,2,34,919,1
11100,2,2,1,36,0,400,355,0,401,591,0,280,651,0,240,420,0,1480,275,-1,400,1383,0
1200,1,2,2,52,2,0,1205,2,72,1147,0,69,1162,0,48,1173,0,48,1191,0,80,1104,1
14300,1,2,1,47,-1,33,742,-1,33,33,-1,33,33,-1,39,33,-1,39,39,-1,24,39,0
2900,2,3,1,59,2,148,2751,2,104,2831,2,0,2865,2,200,2738,2,0,2888,2,104,2811,1
8900,1,1,1,46,2,400,8415,0,361,8541,0,240,8074,0,220,6765,0,240,6887,0,220,6496,1
8700,1,1,2,31,-1,1386,544,-1,440,1386,0,1271,1163,-1,133,1271,-1,1301,133,-1,5598,1301,0
3300,2,2,1,45,0,57,3154,0,60,1109,0,58,1120,0,41,1159,0,42,1150,0,48,1158,0
8500,2,1,2,38,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
1100,1,2,2,27,2,72,1047,0,120,1090,0,0,1179,2,96,1149,2,0,1181,2,64,1156,1
8100,2,2,2,29,6,0,2852,5,0,2787,4,80,2719,3,0,2739,2,77,2698,0,45,2247,1
700,2,3,2,25,1,0,721,2,51,698,0,52,725,0,40,682,0,32,711,0,80,707,0
5500,2,2,2,39,0,256,5725,0,75,5638,-1,75,75,-1,75,75,-1,135,75,-1,4160,135,0
5600,2,1,2,34,0,1287,411,-1,59,1287,0,86,817,0,40,783,0,0,464,0,0,0,0
6800,2,2,1,29,-1,200,2426,0,200,2558,0,160,2484,0,0,2520,0,0,0,-2,132,0,0
11200,2,1,2,30,0,440,10811,0,400,20250,0,400,10549,0,401,10729,0,404,10516,0,400,10580,0
2000,2,2,1,50,-1,306,43,-1,0,287,2,301,259,-1,122,301,-1,60,122,-1,44,60,0
7500,2,2,1,38,0,600,7371,0,240,7662,2,240,7697,0,160,6012,0,160,3696,0,132,3725,0
800,2,3,1,31,0,120,717,0,0,812,2,53,772,0,29,812,0,39,812,0,16,808,0
7700,1,2,2,41,2,0,5976,2,600,5825,2,264,6271,2,260,6375,2,260,6475,2,280,6629,1
2800,2,1,1,38,2,72,1810,0,148,1707,0,0,1827,2,148,1786,2,76,1905,2,0,1944,1
12100,2,2,2,26,-1,190,24,-1,0,189,-1,0,0,-2,0,0,-2,11,0,-1,17,11,0
4500,2,2,2,29,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
5700,2,1,1,34,1,34,0,-1,0,34,-1,0,0,-2,0,0,-2,0,0,-2,0,0,0
2100,2,2,2,21,0,73,1185,0,48,1232,0,11,1213,0,0,535,0,1258,-41,-1,32,1194,0
